collection_ID	collection_start_date	sex	collection_comment	developmental_stage	collection_end_date	GPS_qualifier	trap_duration	f2	species_identification_method	attractant	duration.check	trap_number	species	GPS_latitude	sample_count	trap_type	GPS_longitude	NotEmpty	repeateInstance	sample_ID
soroti_collection_00088	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Anopheles gambiae sensu lato	1.717417	1	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00032
soroti_collection_00088	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	10	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00033
soroti_collection_00088	2015-07-11	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	3	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00034
soroti_collection_00088	2015-07-11	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	5	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00035
soroti_collection_00123	2015-07-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-16	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	7	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	FALSE	soroti_sample_00036
soroti_collection_00123	2015-07-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-16	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	3	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00037
soroti_collection_00123	2015-07-13	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-16	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	1	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00038
soroti_collection_00191	2015-08-11	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-08-11	IA	1		MORPHO	none	0	12	Anopheles gambiae sensu lato	1.717417	69	PSC	33.736604	notEmpty	TRUE	soroti_sample_00039
soroti_collection_00191	2015-08-11	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-08-11	IA	1		MORPHO	none	0	12	Anopheles gambiae sensu lato	1.717417	69	PSC	33.736604	notEmpty	TRUE	soroti_sample_00040
soroti_collection_00191	2015-08-11	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-08-11	IA	1		MORPHO	none	0	12	Culex sp.	1.717417	6	PSC	33.736604	notEmpty	TRUE	soroti_sample_00041
